ESNTL_ID,WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
KCCWSPO20N000000103,보라매공원 산책길,보라매공원 산책길,보라매공원 호수~인공암벽등반장~보라매공원 후문,서울 동작구,매우쉬움,1~5Km미만,1.63,"보라매공원은 서울특별시 동작구 신대방동 395번지 대방로 219 일대인 옛날 공군사관학교 자리를 1985년 12월 20일에 보수하여 1986년 5월 5일 개원하였다. 공군사관학교 때의 상징인 ""보라매""를 그대로 이름에 사용하여 오늘에 이르고 있으며, 공원을 산책하는 코스이다.",30분,사전 준비 하거나 매점에서 구임,곳곳에 다수,공원 남쪽 편의점,서울 동작구 신대방동,37.4906732,126.9196937
KCCWSPO20N000000104,현충원 나들길,현충원 나들길,현충원 입구~정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비~ 현충원입구,서울 동작구,보통,5~10Km미만,7.34,군인·군무원으로서 사망한 사람과 국가에 공이 있는 사람의 유골 또는 시신을 안장한 국립현충원을 도는 산책로이다. 200m 정도 되는 이 나무계단만 올라가면 국립현충원 외곽을 따라 도는 산책로가 편안한 길을 펼쳐낸다.,4시간 30분,사전 준비 필요,현충원 영내 다수,현충원 입구,서울 동작구 사당동,37.4937197,126.9670077
KCCWSPO20N000000105,관악산 계곡나들길,관악산 계곡 나들길,관악산 입구~관악산 호수공원~장미원~삼거리약수터~장미원~호수공원~관악산 입구,서울 관악구,쉬움,5~10Km미만,5.58,"관악산 계곡길은 사시사철 언제라도 시원한 물줄기를 따라 길을 잇는다. 관악산 등산로는 본래 어려움이 많은 길이지만 이곳에 소개하는 길은 가파른 경사로가 시작되기 직전인 무너미고개 앞 삼거리약수터에서 다시 돌아오도록 되어 있어 남녀노소 누구라도 편안한 걷기를 즐길 수 있다. 관악산 계곡 나들길은 외사산의 남쪽에 솟은 관악산과 삼성산이 엇물리는 골짜기 사이로 흐르는 계곡을 따르는 길이다. 수많은 등산객과 유산객들이 매일 찾는 곳답게 노약자도 쉽게 걸을 수 있게 노면 정비가 잘 되어 있다. 여름철에는 계곡 하류에 천연 물놀이장을 만들어서 일반에 무료 개방할 만큼 수질도 상당히 좋은 편이다. 올해 극심한 가뭄으로 계곡에 물이 많지 않고, 수질도 평년에 미치지 못하지만 큰 비 한번이면 다시 예전의 명성을 되찾을 것으로 보인다.",2시간,시작점 부근 약수터,코스 입구,시작점 부근 광장,서울 관악구 신림동,37.4423838,126.9474537
KCCWSPO20N000000107,관악산 나들길,관악산 나들길,샘말공원~맨발공원~약수암~신우초등학교,서울 관악구,보통,5~10Km미만,5.72,예전부터 고시원이 밀집된 대학동 일대를 걸을 수 있도록 기 조성된 공원들을 연결하여 고시생들과 주민들이 편하게 이용할 수 있도록 개발된 코스이다.,3시간,사전준비 필요,,없음,서울 관악구 신림동 210,37.468523,126.9452152
KCCWSPO20N000000108,관음사 산책길,관음사 산책길,관음사~상록약수터,서울 관악구,쉬움,1Km미만,0.81,오래된 나무와 온갖 풀이 바위와 어우러져 철따라 변하는 모습이 마치 금강산과 같다 하여 소금강 또는 서금강 이라고 한다.,40분,사전 준비 필요(상록약수터),관음사 밑,관음사 올라오는 길 입구에서 준비 필요(사당역 일대),서울 관악구 남현동,37.4682599,126.9791551
KCCWSPO20N000000109,낙성대 산책길,낙성대 산책길,안국사~낙성대공원,서울 관악구,보통,1~5Km미만,1.22,"낙성대 공원을 지나 관악산 능선과 이어져있고, 강감찬장군 동상, 안국사 등 볼거리가 풍부하다. 코스는 짧은 코스로 가볍에 산책을 즐기며 걷기에 좋은 코스로 쉬엄쉬엄 걷기를 권하는 산책길이다. 낙성대공원이라는 이름이 만들어진데 빼놓을 수 없는 것은 낙성대이다. 서울특별시 유형문화재 제4호로 지정된 낙성대는 고려의 명장 강감찬의 사당으로 강감찬의 출생지로서, 그가 출생할 때 별이 떨어졌다고 하여 낙성대라는 이름으로 전하여오고 있다.",40분,사전준비하거나 매점에서 구입,낙성대 화장실,낙성대 매점,서울 관악구 봉천동,37.4719465,126.9630878
KCCWSPO20N000000110,독산 삼성산 나들길,독산 삼성산 나들길,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리,서울 금천구,보통,5~10Km미만,6.46,"노후시설을 정비하여 누구나 안전하고 편안하게 걸을 수 있도록 조성되어 있다. 특히 만수천 생태연못과 감로천 생태공원, 야생초화원 등으로 구성되어 다양한 식생과 많은 볼거리를 가지고 있다.",3시간,사전에 준비,관악산생태공원,(코스 인근)금천구립정보도서관 주변,서울특별시 금천구 독산동 373,37.4696857,126.908195
KCCWSPO20N000000111,청룡산 나들길,청룡산 나들길,서울대 입구역~ 청룡 초등학교 ~청룡산 공원~누수식 생태연못~청룡산 산림욕장~ 서울대 입구역,서울 관악구,쉬움,5~10Km미만,5.87,청룡산은 서울대입구역과 서울대정문 사이에 위치한 조그마한 산으로 주택과 인접하고 있어 간단히 산책을 즐길 수 있는 곳으로 계곡물을 이용 많은 습지가 조성되어 있다.,1시간 50분,관악구청 식수대,관악구청,청룡 초교 인근,서울 관악구 봉천동,37.4652947,126.9562546
KCCWSPO20N000000112,호암산 나들길,호암산 나들길,시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사,서울 금천구,어려움,1~5Km미만,4,"호압사에서 산기슭공원에 이르는 생태 탐방로로서 식생이 다양하다. 자연형 돌계단 등을 조성해 산책로를 정비하여 지역주민의 휴식공간으로 각광 받고 있다. 호암산은 해발 393m로 관악산에서 이어진 삼성산의 지맥으로 금천구의 진산이며 관악산 전체의 서쪽에 위치하고 산세가 북쪽(한양)을 바라보는 호랑이 형상을 닮았다 하여 붙여진 이름이라고 한다. 호암산에는 호암산성과 한우물, 석구상, 호압사, 불영사 등 많은 사적과 유서깊은 사찰이 있으며, 등산로가 가파르지 않고 도심에서 쉽게 접근할 수 있어 금천구, 광명시, 안양시민들의 산행으로 많이 찾는 곳이다. 호암산 정상에서 바라보는 서울시내 풍광과 서남쪽의 전경은 그지없이 아름다워 발길을 멈추게 한다.",3시간,사전 준비 필요,호암사 부근,코스 내 없음,경기 안양시 만안구 석수동,37.4439091,126.9226186
KCCWSPO20N000000113,여의도공원 산책길,여의도공원 산책길,여의도공원 역~ 여의도공원 광장 여의도샛강생태공원,서울 영등포구,매우쉬움,1~5Km미만,2.82,"친수공간으로 연출된 생태공원과 옛 여의도광장과 여의도공원은 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨 찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간입니다. (`Free course` 로 자유롭게 다닐 수 있도록 조성)",1시간 30분,사전 준비 필요,있음.,있음,서울 영등포구 여의도동,37.5261923,126.9219137
KCCWSPO20N000000114,영등포봄꽃 나들길,영등포 봄꽃 나들길,신갈공원~신길동 넝쿨장미길,서울 영등포구,매우쉬움,1~5Km미만,3.84,"신풍역 주변 신길6동 벚꽃길에서 시작하는 이 길은 주민들이 직접 헌수하여 조성한 왕벚나무, 넝쿨장미길을 지나 대방천 수림대(가로녹지)로 연결되는 도심 내 건강 산책길이다. 신길6동 벚꽃길과 신길동 넝쿨장미길을 지나 꽃섬길 마을마당(신길광장공원), 대방천 가로녹지대, 도림천으로 연결되는 코스는 지역축제 개최 및 다양한 경관이 펼쳐지며, 휴게시설 및 야외 체육시설이 설치되어 있어 휴식과 운동을 병행하는 재미를 안긴다.",1시간 30분,,,,서울 영등포구 신길동,37.5042413,126.8994712
KCCWSPO20N000000115,개웅산 숲산책길,개웅산 숲산책길,배드민턴장~야생화단지~숲속길,서울 구로구,보통,1~5Km미만,1.5,"개웅산은 능선이 세 방향으로 뻗어 내려 삼각형 모양을 이루고 있는 산으로서 산 전체가 단풍나무, 아까시나무, 소나무, 참나무 등 다양한 식생이 잘 보존된 전형적인 자연상태의 공원이다, 연간 10만여 명의 시민들이 이용하고 있으며, 등산로 주변에 약수터와 의자 등 휴게시설이 설치되어 시민들로부터 좋은 반응을 얻고 있다.",1시간,사전 준비하거나 매점에서 구입,,코스 내 없음,서울 구로구 개봉동,37.4859831,126.8457837
KCCWSPO20N000000116,구로 지양산 숲나들길,구로 지양산 숲나들길,지양산 숲길~차돌바위~궁동터널 위 지양산 숲길 시작,서울 구로구,보통,5~10Km미만,6.84,위성사진을 통해 본 지양산 일대는 서울 남서쪽에 동동 떠 있는 커다란 섬이다. 삭막한 도시 속의 오아시스 같은 지양산은 낮고도 넓게 뻗어 수많은 오솔길을 품었다. 많은 산보객들이 발끝으로 반질반질하게 닦아 놓은 청정 숲길은 인근의 매봉산과 원미산으로까지 영토를 넓혔다. 그래서 그 깊은 속살을 다 들여다보려면 몇날 며칠이 필요할 지 가늠하기 어렵다.,3시간,사전 준비하거나 매점에서 사전 구입,"서서울호수공원, 온수역",코스 내 없음,경기 부천시 작동,37.5144533,126.8240666
KCCWSPO20N000000117,서서울호수공원 산책길,서서울호수공원 산책길,서서울호수공원,서울 양천구,매우쉬움,1Km미만,0.96,옛 신월정수장 자리에 꾸며진 서서울공원은 비행기가 지날 때마다 소음을 감지하여 물이 솟구치는 소리분수와 화가 몬드리안의 구성기법을 도입한 몬드리안 정원이 있다.,30분,사전 준비 필요,있음,,서울 양천구 신월동,37.5269754,126.8301688
KCCWSPO20N000000118,용왕산 나들길,용왕산 나들길,용왕산 진입로~용왕정~달거리약수터,서울 양천구,쉬움,1~5Km미만,2.63,"1971년 8월 건설부고시에 의하여 목동 제1공원으로 지정되었다. 이후 1989년에 도시근린공원으로 개발되었다. 야산에 위치하여 시민들의 휴식공간으로 활용된다. 3코스의 산책로가 조성되어 있으며, 공원 내에는 1997년 5월 완공한 목동종합사회복지관이 들어서 있다. 연간 12만 명이 찾는다.",1시간30분,,,,서울 양천구 목동,37.5426479,126.8754084
KCCWSPO20N000000119,강서문화 산책길,강서 문화 산책길,양천향교~겸재정선기념관~구암공원~허준박물관,서울 강서구,쉬움,1~5Km미만,2.51,"강서구의 명소들을 차례로 들르며 걷게 되는 코스 가장 먼저 양천향교를 지난다. 양천향교는 서울에서는 유일한 것으로, 조선조 태종 12년(1411)에 창건돼 노후된 것을 지난 81년에 전면 복원했다. 향교는 조선시대 우리의 교육 문화를 주도해 온 문화유산으로 유가(儒家)의 공자(孔子)를 비롯한 선성성현 및 선유들의 제사를 모셨으며, 지방 향리들의 자제를 교육하는 오늘날의 국립 중고등과정과 같은 교육기관이었다. 향교를 지나 만나는 견제정선미술관은 우리산천을 표현하는데 가장 적합한 진경산수화풍을 완성한 겸제 정선(1676~1759)의 위대한 예술적 업적을 기리고 진경문화의 계승 발전을 위해 2009년에 개관한 곳이다. 이후 가족과 산책하기 좋은 구암공원을 지나면 허준선생 및 한의학 관련 자료를 보존, 수집, 전시하여 한의학박물관으로 위상을 제고하는 허준박물관에 이르러 코스는 마무리 된다.",90분,겸재정선기념관,"겸재정선기념관, 공암나루근린공원",시작점 부근 슈퍼,서울 강서구 가양동,37.5734649,126.8444262
KCCWSPO20N000000120,봉제산 숲나들길,봉제산 숲나들길,담소터~봉제산배드민턴장~등서초등학교운동장~등촌중학교후문길,서울 강서구,보통,1~5Km미만,2.61,"능선을 따라 걷기 좋은 숲길이 뻗은 봉제산은 산을 위에서 내려다보면 마치 봉황새가 알을 품고 있는 형국이라는 것에서 이름을 얻었다. 산 정상인 매봉은 백제시절에 봉화터였던 까닭에 아직도 봉화터, 봉수대라는 호칭을 사용한다. 해발 117m에 약 1만㎡인 봉제산은 산을 빙 둘러싸고 주택가가 형성되어 있어 찾는 이들도 많고, 진입도 어느 쪽에서나 가능하다. 주능선과 가지능선으로 걷기 편한 산책로가 뻗었으며, 각 능선의 중턱으로도 실핏줄 같은 숲길이 자글자글하다.",1시간30분,약수터가 있으나 간혹 식수 부적격 판정을 받음,체육공원,코스 내 없음,서울 강서구 화곡동,37.5450822,126.8547418
KCCWSPO20N000000121,우장산공원 산책길,우장산공원 산책길,우장산공원 출입구~우장산생태육교~한국폴리텍대학앞,서울 강서구,쉬움,1~5Km미만,4.22,"우장산공원 산책길은 많은 시민들의 사랑을 받고 있는 도심 속 걷기좋은 길이다. 우장산공원의 두 봉우리 중 새마을탑이 서 있는 북동쪽을 검두산, 서남쪽의 폴리텍대학이 있는 산을 원당산이라고 부르며, 이 두 곳을 합쳐 우장산이라고 한다. 공원 외곽으로는 남산순환산책로를 연상시키는 포장산책로가 잘 나 있으며, 봉우리 부근으로는 숲 속으로 난 흙길 산책로가 거미줄처럼 뻗어 있다. 유아 숲체험장이 있고 자동차의 출입이 금지되는 길이기 때문에 가족과 유치원생들의 나들이에도 좋은 곳이다.",1시간50분,사전 준비하거나 매점에서 구입,노선 내 2곳 있음,노선 내 없음,서울 강서구 내발산동,37.5530225,126.8439888
KCCWSPO20N000000122,상암산DMC체험 나들길,상암산 DMC체험 나들길,상암DMC~상암근린공원~매봉산근린공원,서울 마포구,보통,1~5Km미만,4.62,"이길은 자연과 인간이 함께 하는 길이다. 봄 개나리부터 가을 구절초까지 계절별로 꽃을 피우는 불광천을 지나 월드컵경기장 앞에 서면 규모에 한번, 응원함성 소리에 한번, 두 번 놀라게 된다. 경기장 뒤 매봉산 내 풀무골에서 지명의 유래와 복원된 대장간을 보고 인근 조망점에서 조망겸 잠시 쉬었다가 상암근린공원(상암산)으로 가게 된다. 상암근린공원에는 근래 서울시 보호종인 두꺼비의 이동이 관찰되고 있으며 5월말～6월초 흐린날 운좋으면 두꺼비가 상암산으로 이동하는 모습도 볼 수 있다. 젊음이 어우러진, 발전하는 마포의 모습을 상징적으로 보여주는 상암DMC에서 각기 개성을 뽐내고 있는 특색있는 건축물과 분주히 오가는 사람들의 모습에서 발전하는 대한민국의 모습도 발견할 수 있으며, 목이 마르면 길 중간중간에 위치한 카페(향기카페, 허브북카페)에 들러 차한잔 마시는 즐거움도 누릴수 있는, 또다시 가보고 싶은 재미있는 길이다.",2시간,DMC 홍보관,"월드컵경기장, 디지털미디어시티역",지하철 역사 및 도심 곳곳에 분포,서울 마포구 상암동,37.5810716,126.8804888
KCCWSPO20N000000123,신촌대학탐방 나들길,신촌 대학탐방 나들길,서강대정문~노고산~이대정문~연세대동문,서울 서대문구,보통,5~10Km미만,5.12,"신촌은 대학촌이다. 대학은 학문의 광장이지만 넓고 활기찬 캠퍼스는 도시민들의 공원역할도 마다 않는다. 상록의 물결이 가득한 신촌의 3개 대학, 서강대-이화여대-연세대캠퍼스 산책로를 연결하면 색다른 걷기 코스가 된다. 세 대학은 각기 다른 개성과 분위기를 풍겨 걷는 재미 또한 독특하다. 차분한 서강대에서 활기 넘치는 이화여대로, 그리고 호젓한 연세대의 숲길을 걸어 신촌으로 돌아 나오는 코스는 가족 나들이나 연인들의 데이트 코스로도 안성맞춤이다.",2시간30분,,,,서울 서대문구 대현동,37.5605338,126.9458316
KCCWSPO20N000000125,홍대예술의거리 나들길,홍대 예술의 거리 나들길,공민왕 사당~와우공원~근현대디자인박물관~홍대걷고싶은길,서울 마포구,보통,1~5Km미만,3.12,"광흥창역에서 시작하는 이 길은 자연과 젊음을 동시에 만끽할 수 있는 길이다. 시작부터 마포의 역사가 서린 공민왕 사당을 만난 후 와우산 산책을 하고, 지칠 때 즈음 와우산 약수터에서 시원한 물 한 잔을 할 수 있다. 산에서 내려오면 홍대 어린이공원, 걷고 싶은 거리, 피카소 거리 등 신선하고 충격적인 문화 속 산책을 하게 된다.",2시간,,,,서울 마포구 창전동,37.5523074,126.928405
KCCWSPO20N000000126,백련산 나들길,백련산 나들길,소공원~은평정~홍제천,서울 서대문구,보통,5~10Km미만,5.1,숲 속에 들어앉아선 숲을 바라볼 수 없다. 같은 이치로 북한산(836m)을 품에 안으려면 백련산(215m)에 올라야 한다. 백련산은 북한산 반의 반 높이에서도 그 장대함을 한 눈에 담아낼 뿐만 아니라 유순한 산길을 따라 한달음에 능선길이 도달하고 두 걸음에 북한산 조망점에 닿는다.,3시간,사전 준비 필요,서대문문화체육회관,코스 내 없음,서울 은평구 응암동,37.5909344,126.9277023
KCCWSPO20N000000127,안산숲 나들길,안산숲 나들길,메타세콰이어 숲~방크스소나무 숲~단풍나무길~벚나무 길~무학정,서울 서대문구,쉬움,5~10Km미만,5.23,"안산은 해발 296m로 동봉과 서봉의 두 봉우리로 이루어져, 산의 모양이 마치 말의 안장 즉 길마와 같이 생겨 붙여진 이름으로, 인왕산에서 서쪽으로 비스듬히 뻗어 무악재를 이루고 있는 산이다.",3시간,사전 준비 필요,,코스 내 없음.,서울 서대문구 봉원동,37.5750534,126.9440234
KCCWSPO20N000000128,탕춘대성숲 나들길,탕춘대성숲 나들길,홍제역 ~ 인왕중학교 ~ 인왕산 지키미 초소 ~ 약수입구 ~ 기차바위 ~인왕산~ 창의문~백사실계곡~ 세검정 ~ 탕춘대성~홍제역,서울 은평구,어려움,10~15Km미만,12.26,"이 길은 조선시대에 축조된 탕춘대성 성곽을 따라 걷는 홍제동 산책로다. 북한산의 지맥을 이어받아서일까. 탕춘대성 오솔길은 높지 않으면서도 장쾌한 조망을 선사한다. 홍제동에서는 홍지문, 오간수문과 고려시대의 석불인 보도각 백불을 볼 수 있다. 이중 숙종 45년에 세워진 홍지문의 편액은 숙종의 친필로 홍지문은 한성의 북쪽에 있는 문이어서 한북문이라고도 불렸다. 탕춘대성을 서울성과 혼동하는 경우가 있지만 탕춘대성은 서울성과 북한산성을 잇는 성곽을 말한다.",4시간,사전 준비 필요,개미마을 언덕 꼭대기,"개미마을 입구, 세검정 입구",서울 종로구 부암동,37.5951045,126.9698301
KCCWSPO20N000000129,진관공원 나들길,진관공원 나들길,구파발역 ~이말산~ 진관 근린공원~ 진관 초등학교,서울 은평구,쉬움,1~5Km미만,2.76,귀모양을 닮았다 하여 붙여진 이(耳)말산에 위치한 진관공원은 진행 중인 은평뉴타운 내 주민들의 산책로로 이용되고 있는 진관공원은 은평뉴타운 및 북한산의 파노라믹한 우수한 경관이 한눈에 들어와 뉴타운사업 완료시 이용객의 수요 증가를 예상할 수 있다.,1시간,,,,서울 은평구 진관동,37.6397778,126.9321281
